car_id,location
3,Gelatogalore
3,Frank's Fuel
26,Hallowed Grounds
26,Carlyle Chemical Inc.
26,Abila Hospital
26,GAStect
26,Guy's Gyros
26,Brew've Been Served
26,Frydos Autosupply n' More
26,Gelatogalore
26,Katerina's Cafe
26,Cup o'Joe
26,Hippokampos
26,Jack's Magical Beans
26,Abila Zacharo
26,carly's coffee
26,Roberts and Sons
26,Ouzeri Elian
26,Shoppers' Delight
26,Octavio's Office Supplies
1,Hallowed Grounds
1,Carlyle Chemical Inc.
1,Abila Hospital
1,Cup o'Joe
1,GAStect
1,Hippokampos
1,Albert's Fine Clothing
1,carly's coffee
1,Gelatogalore
1,Ouzeri Elian
1,Abila Zacharo
1,Octavio's Office Supplies
1,Shoppers' Delight
1,Kalami Kafenion
1,Guy's Gyros
1,Kronos Mart
29,Coffee Cameleon
29,GAStect
29,Ouzeri Elian
29,Katerina's Cafe
29,Cup o'Joe
29,Gelatogalore
29,carly's coffee
29,Kalami Kafenion
29,Octavio's Office Supplies
29,Guy's Gyros
29,Frydos Autosupply n' More
29,Albert's Fine Clothing
29,Hippokampos
29,U-Pump
29,Shoppers' Delight
29,Abila Zacharo
29,General Grocer
21,Guy's Gyros
21,Frydos Autosupply n' More
21,Brew've Been Served
21,GAStect
21,carly's coffee
21,General Grocer
21,Abila Zacharo
21,Roberts and Sons
21,Katerina's Cafe
21,Gelatogalore
21,Octavio's Office Supplies
21,Hallowed Grounds
21,Carlyle Chemical Inc.
21,Cup o'Joe
21,Ouzeri Elian
21,Nationwide Refinery
21,Chostus Hotel
21,Ahaggo Museum
21,Coffee Cameleon
21,Abila Hospital
21,Hippokampos
21,Kalami Kafenion
14,Hallowed Grounds
14,Carlyle Chemical Inc.
14,Abila Hospital
14,GAStect
14,Katerina's Cafe
14,carly's coffee
14,Gelatogalore
14,Cup o'Joe
14,Frydos Autosupply n' More
14,Guy's Gyros
14,Abila Zacharo
14,Roberts and Sons
14,General Grocer
14,Octavio's Office Supplies
14,Nationwide Refinery
14,Chostus Hotel
14,Hippokampos
14,Ahaggo Museum
14,Bean There Done That
14,Kalami Kafenion
33,Katerina's Cafe
33,Brew've Been Served
33,GAStect
33,Ouzeri Elian
33,carly's coffee
33,Abila Zacharo
33,Roberts and Sons
33,Guy's Gyros
33,Chostus Hotel
33,Coffee Cameleon
33,Frydos Autosupply n' More
33,Hippokampos
33,Ahaggo Museum
33,Octavio's Office Supplies
13,Brew've Been Served
13,GAStect
13,Octavio's Office Supplies
13,Gelatogalore
13,Guy's Gyros
13,Abila Zacharo
13,General Grocer
13,Frydos Autosupply n' More
13,carly's coffee
13,Coffee Cameleon
13,Shoppers' Delight
13,Kalami Kafenion
13,Katerina's Cafe
13,Ouzeri Elian
13,Nationwide Refinery
13,Chostus Hotel
13,Albert's Fine Clothing
2,Bean There Done That
2,Jack's Magical Beans
2,Cup o'Joe
2,GAStect
2,Brew've Been Served
2,Guy's Gyros
2,Hippokampos
2,Abila Zacharo
2,Octavio's Office Supplies
2,carly's coffee
2,General Grocer
2,Roberts and Sons
2,Gelatogalore
2,Frydos Autosupply n' More
2,Kronos Mart
2,Ouzeri Elian
27,Hallowed Grounds
27,Carlyle Chemical Inc.
27,Abila Hospital
27,Cup o'Joe
27,GAStect
27,carly's coffee
27,Gelatogalore
27,Katerina's Cafe
27,Hippokampos
27,Octavio's Office Supplies
27,Kalami Kafenion
27,General Grocer
27,Abila Zacharo
8,Hallowed Grounds
8,Carlyle Chemical Inc.
8,Abila Hospital
8,Cup o'Joe
8,GAStect
8,Gelatogalore
8,Octavio's Office Supplies
8,Katerina's Cafe
8,Guy's Gyros
8,Ouzeri Elian
8,Frydos Autosupply n' More
8,Hippokampos
8,carly's coffee
8,Roberts and Sons
8,Abila Zacharo
8,Kalami Kafenion
101,Abila Airport
101,Kronos Pipe and Irrigation
101,Maximum Iron and Steel
101,Carlyle Chemical Inc.
101,Abila Hospital
101,Ouzeri Elian
101,GAStect
101,Stewart and Sons Fabrication
101,Nationwide Refinery
101,Shoppers' Delight
101,Katerina's Cafe
101,Frydos Autosupply n' More
101,General Grocer
24,Frydos Autosupply n' More
24,Katerina's Cafe
24,Brew've Been Served
24,GAStect
24,carly's coffee
24,Kalami Kafenion
24,Coffee Cameleon
24,Albert's Fine Clothing
24,Chostus Hotel
24,Hallowed Grounds
24,Guy's Gyros
24,Ahaggo Museum
24,Hippokampos
24,Roberts and Sons
24,Abila Zacharo
24,Kronos Mart
24,General Grocer
24,U-Pump
24,Brewed Awakenings
24,Jack's Magical Beans
24,Cup o'Joe
24,Gelatogalore
24,Octavio's Office Supplies
23,Katerina's Cafe
23,Brew've Been Served
23,GAStect
23,carly's coffee
23,General Grocer
23,Kalami Kafenion
23,U-Pump
23,Hallowed Grounds
23,Guy's Gyros
23,Octavio's Office Supplies
23,Gelatogalore
23,Abila Zacharo
23,Frydos Autosupply n' More
23,Ouzeri Elian
23,Albert's Fine Clothing
23,Kronos Mart
25,Coffee Cameleon
25,GAStect
25,Katerina's Cafe
25,Frydos Autosupply n' More
25,Cup o'Joe
25,Ouzeri Elian
25,Hippokampos
25,Hallowed Grounds
25,Albert's Fine Clothing
25,Brew've Been Served
25,Guy's Gyros
25,carly's coffee
25,Gelatogalore
25,Octavio's Office Supplies
25,Abila Zacharo
25,kronos capitol
25,Shoppers' Delight
30,Katerina's Cafe
30,Brew've Been Served
30,GAStect
30,Guy's Gyros
30,Ouzeri Elian
30,Frydos Autosupply n' More
30,Hippokampos
30,Abila Zacharo
30,Chostus Hotel
30,Ahaggo Museum
30,Shoppers' Delight
30,carly's coffee
30,Kalami Kafenion
30,General Grocer
30,Roberts and Sons
30,Hallowed Grounds
15,Guy's Gyros
15,Brew've Been Served
15,GAStect
15,Katerina's Cafe
15,Frydos Autosupply n' More
15,Chostus Hotel
15,Ahaggo Museum
15,Brewed Awakenings
15,Jack's Magical Beans
15,Hippokampos
15,Frank's Fuel
15,Hallowed Grounds
15,U-Pump
15,Cup o'Joe
15,Ouzeri Elian
15,Abila Zacharo
15,Gelatogalore
15,carly's coffee
15,General Grocer
15,Coffee Cameleon
15,Shoppers' Delight
15,Kalami Kafenion
15,kronos capitol
28,Jack's Magical Beans
28,Roberts and Sons
28,kronos capitol
28,Kronos Mart
5,Jack's Magical Beans
5,Cup o'Joe
5,GAStect
5,Katerina's Cafe
5,Roberts and Sons
5,Abila Zacharo
5,carly's coffee
5,Ouzeri Elian
5,Gelatogalore
5,Octavio's Office Supplies
5,General Grocer
5,Kronos Mart
5,Hippokampos
22,Katerina's Cafe
22,Brew've Been Served
22,GAStect
22,Abila Zacharo
22,carly's coffee
22,Kalami Kafenion
22,Octavio's Office Supplies
22,Gelatogalore
22,Ouzeri Elian
22,Guy's Gyros
22,Hallowed Grounds
22,Shoppers' Delight
22,Coffee Cameleon
22,Roberts and Sons
22,kronos capitol
22,Ahaggo Museum
22,Hippokampos
9,Bean There Done That
9,Jack's Magical Beans
9,Cup o'Joe
9,GAStect
9,Hippokampos
9,Kalami Kafenion
9,carly's coffee
9,Katerina's Cafe
9,Ouzeri Elian
9,Gelatogalore
9,Guy's Gyros
9,Frydos Autosupply n' More
9,Hallowed Grounds
107,Abila Hospital
107,Nationwide Refinery
107,Frydos Autosupply n' More
107,Stewart and Sons Fabrication
107,GAStect
107,Cup o'Joe
107,Kronos Pipe and Irrigation
107,Maximum Iron and Steel
107,General Grocer
107,Carlyle Chemical Inc.
107,Katerina's Cafe
104,Abila Airport
104,GAStect
105,Cup o'Joe
105,Abila Hospital
105,Carlyle Chemical Inc.
105,Nationwide Refinery
105,Katerina's Cafe
105,GAStect
106,Abila Airport
106,Abila Scrapyard
106,Hallowed Grounds
106,Stewart and Sons Fabrication
106,Frydos Autosupply n' More
106,Nationwide Refinery
106,GAStect
106,Cup o'Joe
106,Abila Hospital
31,Chostus Hotel
31,Hallowed Grounds
31,Carlyle Chemical Inc.
31,Abila Hospital
31,GAStect
31,carly's coffee
31,Octavio's Office Supplies
31,Abila Zacharo
31,Katerina's Cafe
31,Desafio Golf Course
31,Guy's Gyros
